"","tray","brand","amount","growth"
"1",1,1,0,2.28
"2",1,1,0,2.36
"3",1,1,0,2.52
"4",1,1,3,3.14
"5",1,1,3,3.55
"6",1,1,3,3.21
"7",1,1,6,3.95
"8",1,1,6,4.17
"9",1,1,6,4.06
"10",1,1,9,4.71
"11",1,1,9,4.68
"12",1,1,9,5.08
"13",2,2,0,2.31
"14",2,2,0,2.31
"15",2,2,0,2.33
"16",2,2,3,3.71
"17",2,2,3,3.46
"18",2,2,3,3.24
"19",2,2,6,4.66
"20",2,2,6,4.62
"21",2,2,6,5.13
"22",2,2,9,5.81
"23",2,2,9,6.01
"24",2,2,9,5.8
"25",3,1,0,2.11
"26",3,1,0,2.49
"27",3,1,0,2.29
"28",3,1,3,3.94
"29",3,1,3,2.98
"30",3,1,3,3.6
"31",3,1,6,3.99
"32",3,1,6,4.05
"33",3,1,6,4.22
"34",3,1,9,4.98
"35",3,1,9,4.92
"36",3,1,9,4.86
"37",4,2,0,2.57
"38",4,2,0,2.36
"39",4,2,0,2.31
"40",4,2,3,3.48
"41",4,2,3,3.74
"42",4,2,3,3.46
"43",4,2,6,4.65
"44",4,2,6,4.89
"45",4,2,6,4.69
"46",4,2,9,6.19
"47",4,2,9,6.05
"48",4,2,9,5.55
"49",5,1,0,3.59
"50",5,1,0,3.56
"51",5,1,0,3.1
"52",5,1,3,4.3
"53",5,1,3,4.33
"54",5,1,3,3.77
"55",5,1,6,4.71
"56",5,1,6,4.5
"57",5,1,6,5.39
"58",5,1,9,5.43
"59",5,1,9,5.59
"60",5,1,9,5.84
"61",6,2,0,3.14
"62",6,2,0,3.39
"63",6,2,0,3.11
"64",6,2,3,4.31
"65",6,2,3,4.63
"66",6,2,3,4.4
"67",6,2,6,5.41
"68",6,2,6,5.58
"69",6,2,6,6.25
"70",6,2,9,7.11
"71",6,2,9,7.17
"72",6,2,9,6.39
"73",7,1,0,3.64
"74",7,1,0,3.21
"75",7,1,0,3.44
"76",7,1,3,3.97
"77",7,1,3,4.1
"78",7,1,3,4.19
"79",7,1,6,4.72
"80",7,1,6,4.7
"81",7,1,6,5.07
"82",7,1,9,6.2
"83",7,1,9,5.67
"84",7,1,9,5.9
"85",8,2,0,3.11
"86",8,2,0,3.2
"87",8,2,0,3.1
"88",8,2,3,4.55
"89",8,2,3,4.5
"90",8,2,3,4.24
"91",8,2,6,5.31
"92",8,2,6,5.55
"93",8,2,6,5.32
"94",8,2,9,6.56
"95",8,2,9,6.93
"96",8,2,9,6.7
