"title","IMDB_score","MPAA_rating","meta_score","run_time","vote","gross"
"Star Wars: Episode VIII - The Last Jedi",7.2,"PG-13",85,152,413501,620.18
"Beauty and the Beast",7.2,"PG",65,129,216088,504.01
"Wonder Woman",7.5,"PG-13",76,141,435411,412.56
"Jumanji: Welcome to the Jungle",7,"PG-13",58,119,202322,404.52
"Guardians of the Galaxy Vol. 2",7.7,"PG-13",67,136,409170,389.81
"Spider-Man: Homecoming",7.5,"PG-13",73,133,356192,334.2
"It",7.4,"R",69,135,304626,327.48
"Thor: Ragnarok",7.9,"PG-13",74,130,384418,315.06
"Despicable Me 3",6.3,"PG",49,89,79785,264.62
"Justice League",6.6,"PG-13",45,120,281778,229.02
"Logan",8.1,"R",77,137,507504,226.28
"The Fate of the Furious",6.7,"PG-13",56,136,167071,226.01
"Coco",8.4,"PG",81,105,215270,209.73
"Dunkirk",8,"PG-13",94,106,417311,188.37
"Get Out",7.7,"R",84,104,330825,176.04
"The Lego Batman Movie",7.3,"PG",75,104,104322,175.75
"The Boss Baby",6.3,"PG",50,97,83957,175
"The Greatest Showman",7.7,"PG",48,105,152401,174.34
"Pirates of the Caribbean: Dead Men Tell No Tales",6.6,"PG-13",39,129,206009,172.56
"Kong: Skull Island",6.7,"PG-13",62,118,215239,168.05
"Cars 3",6.8,"G",59,102,50199,152.9
"War for the Planet of the Apes",7.5,"PG-13",82,140,183633,146.88
"Wonder",8,"PG",66,113,87406,132.42
"Transformers: The Last Knight",5.2,"PG-13",27,154,105765,130.17
"Girls Trip",6.2,"R",71,122,26016,115.11
"Fifty Shades Darker",4.6,"R",33,118,74821,114.38
"Baby Driver",7.6,"R",86,112,323366,107.83
"Pitch Perfect 3",5.9,"PG-13",40,93,35562,104.9
"Daddy's Home 2",6,"PG-13",30,100,37459,104.03
"Murder on the Orient Express",6.5,"PG-13",52,114,153974,102.83
"Annabelle: Creation",6.6,"R",62,109,76939,102.09
"Kingsman: The Golden Circle",6.8,"R",44,141,201552,100.23
"Blade Runner 2049",8.1,"R",81,164,329345,92.05
"John Wick: Chapter 2",7.5,"R",75,122,242465,92.03
"The Emoji Movie",3.2,"PG",12,86,42508,86.09
"Power Rangers",6,"PG-13",44,124,85518,85.07
"Ferdinand",6.7,"PG",58,108,32192,84.41
"The Post",7.2,"PG-13",83,116,87308,81.9
"The Mummy",5.5,"PG-13",34,110,140379,80.1
"The Hitman's Bodyguard",6.9,"R",47,118,143556,75.47
"Alien: Covenant",6.4,"R",65,122,208347,74.26
"Captain Underpants: The First Epic Movie",6.2,"PG",69,89,19906,73.92
"A Bad Moms Christmas",5.5,"R",42,104,25761,72.11
"A Dog's Purpose",7,"PG",43,100,47018,64.51
"The Shape of Water",7.4,"R",87,123,248397,63.86
"The Lego Ninjago Movie",6,"PG",55,101,15585,59.28
"Baywatch",5.6,"R",37,116,115749,58.06
"The Shack",6.3,"PG-13",32,132,23148,57.33
"Darkest Hour",7.4,"PG-13",75,125,112132,56.44
"Happy Death Day",6.5,"PG-13",57,96,64119,55.68
"Three Billboards Outside Ebbing, Missouri",8.2,"R",88,115,276227,54.51
"Atomic Blonde",6.7,"R",63,115,134136,51.57
"American Made",7.2,"R",65,115,114615,51.34
"The Dark Tower",5.7,"PG-13",34,95,96834,50.7
"Lady Bird",7.5,"R",94,94,145708,48.96
"Boo 2! A Madea Halloween",3.7,"PG-13",17,101,2732,47.32
"Snatched",4.4,"R",45,90,27577,45.83
"Smurfs: The Lost Village",5.9,"PG",40,90,13864,45.02
"Going in Style",6.6,"PG-13",50,96,59656,45
"All Eyez on Me",5.8,"R",38,139,16788,44.92
"xXx: Return of Xander Cage",5.2,"PG-13",42,107,72513,44.9
"47 Meters Down",5.6,"PG-13",52,89,34667,44.31
"The Big Sick",7.6,"R",86,120,93278,42.87
"Valerian and the City of a Thousand Planets",6.5,"PG-13",51,137,125908,41.19
"The Star",5.9,"PG",42,86,3838,40.85
"Ghost in the Shell",6.4,"PG-13",52,107,160184,40.53
"Paddington 2",7.9,"PG",88,103,35160,40.44
"King Arthur: Legend of the Sword",6.8,"PG-13",41,126,155314,39.18
"Jigsaw",5.8,"R",39,92,48669,38.05
"American Assassin",6.2,"R",45,112,50286,36.25
"The Foreigner",7,"R",55,113,70869,34.39
"Everything, Everything",6.4,"PG-13",52,96,22656,34
"Wind River",7.8,"R",73,107,141764,33.8
"Geostorm",5.3,"PG-13",21,109,67765,33.7
"Fist Fight",5.6,"R",37,91,31375,32.19
"How to Be a Latin Lover",5.9,"PG-13",54,115,10381,32.09
"Kidnap",5.9,"R",44,95,25938,30.72
"The Mountain Between Us",6.4,"PG-13",48,112,48118,30.35
"Life",6.6,"R",54,104,164192,30.23
"I, Tonya",7.5,"R",77,120,109799,30.01
"Hostiles",7.2,"R",65,134,38229,29.82
"Molly's Game",7.5,"R",71,140,81041,28.78
"The Nut Job 2: Nutty by Nature",5.4,"PG",36,91,4115,28.37
"Logan Lucky",7,"PG-13",78,118,92863,27.78
"Rings",4.5,"PG-13",25,102,31305,27.78
"Home Again",5.8,"PG-13",41,97,18691,27.02
"The House",5.6,"R",30,88,28629,25.48
"All the Money in the World",6.9,"R",72,132,48380,25.11
"Gifted",7.6,"PG-13",60,101,72979,24.8
"Downsizing",5.7,"R",63,135,58832,24.45
"The Bye Bye Man",4.3,"PG-13",37,96,15067,22.38
"Victoria & Abdul",6.8,"PG-13",58,111,21382,22.25
"Rough Night",5.2,"R",51,101,34953,22.06
"My Little Pony: The Movie",6.1,"PG",39,99,4561,21.89
"The Disaster Artist",7.5,"R",76,104,93584,21.12
"Phantom Thread",7.6,"R",90,130,69233,21.02
"Sleepless",5.6,"R",34,95,23038,20.76
"Diary of a Wimpy Kid: The Long Haul",4.4,"PG",39,91,4883,20.64
"The Circle",5.3,"PG-13",43,110,65668,20.48
"Baahubali 2: The Conclusion",8.4,"Not Rated",NA,167,59781,20.19
"CHIPS",6,"R",28,100,32548,18.59
"Only the Brave",7.7,"PG-13",72,134,34560,18.34
"Call Me by Your Name",8,"R",93,132,124338,18.1
"Mother!",6.6,"R",75,121,133520,17.8
"Father Figures",5.4,"R",22,113,10409,17.5
"The Zookeeper's Wife",7,"PG-13",57,127,27624,17.45
"Chappaquiddick",6.5,"PG-13",67,106,5782,17.4
"The Glass Castle",7.2,"PG-13",56,127,18875,17.27
"Flatliners",5.2,"PG-13",27,109,28907,16.87
"Detroit",7.4,"R",77,143,35049,16.79
"The Case for Christ",6.1,"PG",50,112,5688,14.68
"Wish Upon",5.1,"PG-13",32,90,12655,14.3
"It Comes at Night",6.2,"R",78,91,61349,13.99
"Megan Leavey",7.1,"PG-13",66,116,16705,13.41
"Battle of the Sexes",6.7,"PG-13",73,121,36388,12.64
"Before I Fall",6.4,"PG-13",58,98,34447,12.23
"Roman J. Israel, Esq.",6.4,"PG-13",58,122,18465,11.96
"Unforgettable",5,"R",45,100,10128,11.27
"The Beguiled",6.3,"R",77,93,38100,10.58
"Marshall",7.2,"PG-13",66,118,11703,10.05
"Thank You for Your Service",6.5,"R",68,109,8177,9.47
"The Death of Stalin",7.2,"R",88,107,46198,8.04
"The Space Between Us",6.4,"PG-13",33,120,36583,7.83
"Let There Be Light",4.7,"PG-13",NA,100,1880,7.23
"Beatriz at Dinner",6.1,"R",68,82,7206,7.12
"Loving Vincent",7.8,"PG-13",62,94,32165,6.74
"The Snowman",5.1,"R",23,119,41262,6.67
"Same Kind of Different as Me",6.4,"PG-13",47,119,2968,6.42
"Just Getting Started",4.3,"PG-13",21,91,3747,6.07
"The Florida Project",7.6,"R",92,111,58730,5.9
"All Saints",5.9,"PG",63,108,1043,5.8
"Suburbicon",5.6,"R",42,105,25522,5.78
"The Man Who Invented Christmas",7,"PG",60,104,5430,5.68
"Tiger Zinda Hai",6.1,"Not Rated",NA,161,17191,5.56
"The Book of Henry",6.6,"PG-13",31,105,16275,4.22
"Stronger",7,"R",76,119,27043,4.21
"Borg vs McEnroe",7,"R",63,107,15626,4.11
"The Hero",6.5,"R",61,96,5922,4.08
"Table 19",5.8,"PG-13",40,87,20219,3.61
"Phoenix Forgotten",5.2,"PG-13",33,87,4189,3.6
"Disobedience",6.6,"R",74,114,10679,3.48
"Til Death Do Us Part",4.3,"PG-13",NA,101,681,3.45
"First Reformed",7.2,"R",85,113,10834,3.45
"The Leisure Seeker",6.6,"R",45,112,3321,3.23
"Ingrid Goes West",6.6,"R",71,98,23279,3.02
"Thoroughbreds",6.8,"R",75,92,17168,2.83
"Wolf Warrior 2",6.2,"Not Rated",44,123,4773,2.72
"My Cousin Rachel",6,"PG-13",63,106,13813,2.68
"A Question of Faith",5.3,"PG",NA,104,675,2.59
"Do It Like An Hombre",5.5,"R",NA,109,872,2.53
"You Were Never Really Here",6.9,"R",84,89,45356,2.52
"Tulip Fever",6.2,"R",38,105,12276,2.43
"Mary and the Witch's Flower",6.8,"PG",75,103,5263,2.42
"T2 Trainspotting",7.2,"R",67,117,85823,2.4
"Pokémon the Movie: I Choose You!",6.5,"Not Rated",NA,98,2605,2.4
"The Rider",7.5,"R",92,104,3957,2.39
"Papillon",6.9,"R",52,133,2640,2.34
"The Wife",7.5,"R",76,100,1083,2.31
"The Killing of a Sacred Deer",7.1,"R",73,121,71518,2.29
