"title","IMDB_score","MPAA_rating","genre","meta_score","run_time","vote","gross"
"Black Panther",7.3,"PG-13","Action",88,134,480585,700.06
"Avengers: Infinity War",8.5,"PG-13","Action",68,149,604460,678.82
"Incredibles 2",7.7,"PG","Animation",80,118,187214,608.58
"Jurassic World: Fallen Kingdom",6.2,"PG-13","Action",51,128,204123,417.72
"Aquaman",7.2,"PG-13","Action",55,143,200231,334.14
"Deadpool 2",7.8,"R","Comedy",66,119,361973,324.59
"The Grinch",6.3,"PG","Family",51,86,26370,270.6
"Mission: Impossible - Fallout",7.8,"PG-13","Thriller",86,147,220509,220.16
"Ant-Man and the Wasp",7.1,"PG-13","Comedy",70,118,208852,216.65
"Bohemian Rhapsody",8.1,"PG-13","Biography",49,134,303059,215.45
"A Star Is Born",7.8,"R","Romance",88,136,218495,214.83
"Solo: A Star Wars Story",7,"PG-13","Action",62,135,211812,213.77
"Venom",6.8,"PG-13","Thriller",35,112,247521,213.52
"Ralph Breaks the Internet",7.2,"PG","Animation",71,111,68260,200.63
"Spider-Man: Into the Spider-Verse",8.6,"PG","Animation",87,117,149842,189.17
"A Quiet Place",7.6,"PG-13","Horror",82,90,284652,188.02
"Crazy Rich Asians",7,"PG-13","Romance",74,120,83826,174.53
"Mary Poppins Returns",7.1,"PG","Family",66,130,38632,171.57
"Hotel Transylvania 3: Summer Vacation",6.3,"PG","Animation",54,97,38532,167.51
"Fantastic Beasts: The Crimes of Grindelwald",6.7,"PG-13","Family",52,134,139613,159.56
"Halloween",6.7,"R","Horror",67,106,80463,159.34
"The Meg",5.7,"PG-13","Horror",46,113,100830,145.44
"Ocean's 8",6.2,"PG-13","Comedy",61,110,133168,139.38
"Ready Player One",7.5,"PG-13","Action",64,140,287262,137.69
"Bumblebee",7.1,"PG-13","Action",66,114,56052,127.2
"Mamma Mia! Here We Go Again",6.8,"PG-13","Romance",60,114,54489,120.63
"The Nun",5.4,"R","Horror",46,96,81268,117.44
"Creed II",7.3,"PG-13","Drama",66,130,57659,115.71
"Peter Rabbit",6.6,"PG","Animation",51,95,26422,115.25
"The Mule",7.2,"R","Thriller",58,116,23394,103.8
"The Equalizer 2",6.7,"R","Thriller",50,121,87393,102.08
"A Wrinkle in Time",4.2,"PG","Family",53,109,33555,100.48
"Fifty Shades Freed",4.5,"R","Thriller",31,105,41775,100.41
"Rampage",6.1,"PG-13","Action",45,107,109721,99.35
"Christopher Robin",7.4,"PG","Animation",60,104,45740,99.22
"I Can Only Imagine",7.4,"PG","Family",30,110,10603,83.48
"Smallfoot",6.7,"PG","Animation",60,96,20525,83.24
"Green Book",8.3,"PG-13","Biography",69,130,146301,81.34
"Night School",5.6,"PG-13","Comedy",43,111,19869,77.34
"The First Purge",5.1,"R","Horror",54,98,37610,69.09
"Game Night",7,"R","Comedy",66,100,153924,69
"Book Club",6.1,"PG-13","Romance",53,104,16860,68.57
"The House with a Clock in Its Walls",6.1,"PG","Family",57,105,29585,68.55
"Skyscraper",5.8,"PG-13","Thriller",51,102,73518,67.8
"Instant Family",7.4,"PG-13","Comedy",57,118,30514,67.36
"Insidious: The Last Key",5.7,"PG-13","Horror",49,103,40018,67.35
"Blockers",6.2,"R","Comedy",69,102,53472,59.84
"Pacific Rim: Uprising",5.6,"PG-13","Action",44,111,85255,59.19
"Maze Runner: The Death Cure",6.2,"PG-13","Thriller",50,143,87055,58.03
"Tomb Raider",6.3,"PG-13","Action",48,119,156352,57.42
"The Nutcracker and the Four Realms",5.5,"PG","Family",39,99,15863,54.86
"Tag",6.6,"R","Comedy",56,100,75047,54.55
"A Simple Favor",6.9,"R","Comedy",67,117,74084,53.54
"Life of the Party",5.5,"PG-13","Comedy",46,105,23694,52.86
"The Predator",5.4,"R","Action",48,107,86657,51.02
"Overboard",5.9,"PG-13","Romance",42,112,22944,50.32
"Sicario: Day of the Soldado",7.1,"R","Action",61,122,86964,50.07
"I Feel Pretty",5.4,"PG-13","Romance",48,110,36689,48.8
"BlacKkKlansman",7.5,"R","Biography",83,135,127407,48.69
"Vice",7.2,"R","Biography",61,132,48931,47.76
"Red Sparrow",6.6,"R","Thriller",53,140,130826,46.87
"Goosebumps 2: Haunted Halloween",5.6,"PG","Family",53,90,9603,46.7
"Breaking In",5.4,"PG-13","Action",42,88,9141,46.38
"12 Strong",6.6,"R","Action",54,130,47386,45.5
"Den of Thieves",7,"R","Action",49,140,65954,44.95
"First Man",7.4,"PG-13","Biography",84,141,106706,44.94
"Hereditary",7.3,"R","Horror",87,127,137881,44.07
"Acrimony",5.7,"R","Thriller",32,120,5239,43.55
"Sherlock Gnomes",5.1,"PG","Animation",36,86,7474,43.24
"Uncle Drew",5.7,"PG-13","Comedy",57,103,8816,42.47
"Widows",7,"R","Thriller",84,129,51811,42.4
"Love, Simon",7.7,"PG-13","Romance",72,110,77211,40.83
"Truth or Dare",5.1,"PG-13","Horror",35,100,31090,40.72
"Second Act",5.8,"PG-13","Romance",46,103,8425,39.28
"The Commuter",6.3,"PG-13","Thriller",56,105,79130,36.34
"The 15:17 to Paris",5.2,"PG-13","Biography",45,94,20656,36.25
"Mile 22",6.1,"R","Thriller",38,94,43468,36.11
