Poll,Date,Sample,Biden,Sanders,Warren,Bloomberg,Buttigieg,Klobuchar,Yang,Steyer,Gabbard,Bennet,Patrick,
Economist/YouGov,2/2 - 2/4,616 RV,24,19,18,9,9,6,3,2,3,1,0,
Morning Consult,1/27 - 2/2,15259 RV,28,24,14,14,6,3,4,3,2,1,1,
Harvard-Harris,1/27 - 1/29,980 RV,31,20,12,13,6,3,3,2,1,--,--,
NBC News/Wall St. Jrnl,1/26 - 1/29,428 LV,26,27,15,9,7,5,4,2,2,0,1,
Economist/YouGov,1/26 - 1/28,591 RV,26,24,20,4,7,4,4,1,3,0,1,
IBD/TIPP,1/23 - 1/30,336 RV,26,19,13,8,7,3,4,2,1,1,0,
Quinnipiac,1/22 - 1/27,827 RV,26,21,15,8,6,7,3,2,1,0,0,
Morning Consult,1/20 - 1/26,17836 RV,29,23,14,12,7,3,5,3,1,1,0,
Emerson,1/21 - 1/23,497 LV,30,27,13,7,6,4,8,1,1,1,0,
LA Times/USC,1/15 - 1/28,2227 LV,34,18,16,9,9,3,2,2,1,--,--,
ABC News/Wash Post,1/20 - 1/23,LV,34,22,14,7,4,4,6,1,0,2,1,
The Hill/HarrisX,1/20 - 1/22,878 RV,29,17,9,11,5,2,4,4,2,--,1,
FOX News,1/19 - 1/22,495 LV,26,23,14,10,7,3,5,3,0,0,1,
Economist/YouGov,1/19 - 1/21,470 LV,28,18,21,6,8,4,3,2,3,0,0,
Monmouth,1/16 - 1/20,372 RV,30,23,14,9,6,5,3,1,1,1,0,
CNN,1/16 - 1/19,500 RV,24,27,14,5,11,4,4,2,0,0,0,
Morning Consult,1/15 - 1/19,12402 LV,29,24,15,10,8,3,4,3,2,1,0,
SurveyUSA,1/14 - 1/16,1086 LV,32,21,14,9,9,2,4,3,2,--,--,
The Hill/HarrisX,1/13 - 1/14,451 RV,29,19,11,7,4,3,2,3,1,2,0,
Economist/YouGov,1/11 - 1/14,521 RV,27,20,19,5,7,3,3,1,2,0,0,
Quinnipiac,1/8 - 1/12,651 RV,25,19,16,6,8,4,5,1,1,1,1,
Politico/Morning Consult,1/6 - 1/12,17096 RV,29,23,14,8,8,3,5,4,2,1,0,
IBD/TIPP,1/3 - 1/11,333 RV,26,15,20,7,9,3,3,2,1,0,0,
Economist/YouGov,1/5 - 1/7,574 RV,27,20,22,3,7,3,3,2,3,0,0,
Morning Consult,12/30 - 1/5,17213 RV,31,23,14,7,8,3,4,4,2,1,0,
Harvard-Harris,12/27 - 12/29,756 RV,30,17,12,7,7,2,3,2,1,--,--,
Economist/YouGov,12/28 - 12/31,548 RV,29,19,18,3,8,4,3,2,3,0,0,
The Hill/HarrisX,12/27 - 12/28,431 RV,28,16,11,11,6,2,2,2,2,0,0,
Politico/Morning Consult,12/23 - 12/29,17787 RV,32,21,14,6,8,3,4,3,1,1,0,
Economist/YouGov,12/22 - 12/24,586 LV,30,17,19,4,7,5,3,1,2,0,0,
Politico/Morning Consult,12/20 - 12/22,7178 RV,31,21,15,6,9,3,5,3,2,1,0,
Emerson,12/15 - 12/17,525 RV,32,25,12,3,8,2,6,2,4,0,0,
NBC News/Wall St. Jrnl,12/14 - 12/17,410 LV,28,21,18,4,9,5,3,1,2,0,0,
Economist/YouGov,12/14 - 12/17,555 LV,29,19,17,4,7,4,3,2,3,1,0,
CNN,12/12 - 12/15,408 RV,26,20,16,5,8,3,3,1,1,0,0,
The Hill/HarrisX,12/13 - 12/14,456 RV,29,13,13,5,5,3,3,3,1,1,2,
Quinnipiac,12/11 - 12/15,567 RV,30,16,17,7,9,3,3,1,1,0,0,
USA Today/Suffolk,12/10 - 12/14,384 LV,23,14,13,6,8,3,2,1,1,0,--,
Politico/Morning Consult,12/9 - 12/15,13384 RV,31,22,15,7,8,2,4,3,2,1,0,
NPR/PBS/Marist,12/9 - 12/11,704 RV,24,22,17,4,13,4,5,0,1,1,0,
FOX News,12/8 - 12/11,453 RV,30,20,13,5,7,5,3,1,3,1,0,
IBD/TIPP,12/5 - 12/14,312 RV,26,18,14,5,9,2,2,2,1,1,0,
Economist/YouGov,12/7 - 12/10,497 LV,26,16,21,4,11,2,3,1,3,1,0,
